Content ,Kelas
"INFO RESMI,Brkat isi pulsa No.anda M/dpt HADIAH.Rp.100jt dri.PT.M-KIOS pin:{M248K81} atau klik. Www.M-kIOSresmi.blogspot.com Hub:085205086116",SPAM
uangnya transfer aja kesini Bank BCA a/n ERNA FATIMAH no.rek:8535-0867-33,SPAM
Berkat isi ulang pulsa mkios no anda telah resmi mendptkan hadiah dari PT.MKIOS 100.jt.PIN anda m248k81 cek pin anda www.pestamkios79.blogspot.com,SPAM
surat keputusan PT.M-KIOS mnytakan No anda pmnang ke-2 cek tunai 100jt dri undian isiulang pulsa PIN. M547K57 U/info klik. www.undianmkiosxv.blogspot.com,SPAM
maaf kami sudah menghubungi tapi tidak tersambung nomor anda Tpilih sebagai pemenang ke-2 dri PT.M-KIOS dgn pin:MK2E79F cek pin anda di: www.m-kios.info,SPAM
maaf kami sudah menghubungi tapi tdk bisa terhubung SIMCARD anda adalah pemenang ke-2 PESTA ISI ULANG MKIOS dgn pin:M248K81 U/info klik: www.geraimkios.co.vu,SPAM
"Selamat simCard anda mendapatkan hadiah dari PT.M-KIOS, pin undian anda 87CH311D2 Untuk info klik www.pemenangtahunanmkios.jimdo.com",SPAM
"ini nomor baru papa, tolong kirimin pulsa 50.000 ke nomor baru papa 085687329010. Papa lagi di kantor polisi, ada masalah. Jangan telepon Papa.",SPAM
"Pah ini mama tolong isi pulsa ke no ini 087832670095,sekarang ada dirumah sakit ,saudara kita kecelakaan. urgent",SPAM
"Tolong belikan Mama dlu pulsa Rp 50 di No,nya Mama yng baru ini No,nya 081313779293 MAMA mau pkai Nelpon pnting.! ini No,nya orng MAMA pakai",SPAM
"Beliin mama pulsa 50 ribu di nomor baru mama, ini nomor barunya 081241646836, cepat ya, nanti mama ganti",SPAM
Belikan dulu mama pulsa simPATI Rp 50 rb di nmr mama yg baru. Ini nmrnya: 081244831959 secepatnya ya. Penting soalnya mama lg kena masalh ini cuma pinjam hp,SPAM
"Sayang, belikan mama pulsa simPATI Rp 50 rb, mama lg ada urusan penting. Ini nmr baru mama: 081244831959, ini mama pinjam hp teman",SPAM
"Kirimkan mama pulsa 50rb di no berikut bkn di no yang lama. Penting, soalnya mama ada masalah",SPAM
"ini nomor baru bapak. 085210698466 tlg isikan dulu pulsa As 20rb,nanti bpk yang bayar,skrang ya penting, soalnya bpk hanya pinjam tlp orang lain buat kirim sms,jadi jangan telp balik",SPAM
"Tlng beliin Papa pulsa 50rb dino ini 081355814488 PENTING, kbtln Papa ada diKantor POLISI, nanti Papa ganti uangnya.",SPAM
"Krmkan dlu plsa 20 rb, dikrm k nmr 082191646127 dari Ani.",SPAM
kirimkanka Pulsa 50 di nomor ini;0821 91691192.nanti uangnya Saya kasih.Dari Anto.,SPAM
Ini bapak meminjam HP orang lain. Tolong kirim pulsa Rp20 ribu ke nomor ini. 085213442032. Bapak ada masalah di kantor polisi. Jangan menelepon/SMS. Nanti bapak yang menelepon. Sekarang penting.,SPAM
Pak tolong isiin pulsa ke no Im3 ini ya 085789043331...sekarang ya penting...! ini pulsa terakhir...ditunggu.,SPAM
"Tolong uangnya dikirim aja kesini BANK DANAMON a/n Farida hanum No rek. 0035-3918-4014 Sms aja klo udah dikirim, Trims",SPAM
"Disampaikan Dr. ""BANK BRI"" And M_dptkan Dana Bantuan Cek Rp,75juta Informasi Hub: Frans Wanggai 0853-97243555 Pelaksana: BRI Pusat",SPAM
maaf kami sudah menghubungi tapi tdak tersambung No.anda resmi meraih hadiah ke-2 dr PT MKIOS pin M248K81 cek pin anda di:www.hadiahresmimkios96.blogspot.com,SPAM
"Mau tau peruntunganmu ttg cinta, jodoh, keuangn, kesehatan dan karir di Thn Macan? Telpon 789 katakan SHIO! 750/mnt. Atau ketik REG (NamaShio) ke 333. 500/sms/hr.",SPAM
"Syg!! beliin aku pulsa 20rb ke no ini 082191613527 penting. Ini no temen aku pakai. Jangan dihubngi, nanti aku yg tlpn.",SPAM
"Saya Ibu Sulastri yang tempo hari survey tanah saudara dan cocok. Untuk harga, mohon hubungi suami saya H.Ridwan di nomor 0852174641xx. Terimakasih",SPAM
"Maaf saya Bu Nur, tanah yang di tanjung api-api saya sudah lihat dan sudah cocok, untuk masalah harga tolong hubungi suami saya aja, pak H.SULAIMAN di no hp. 08xxxxxx, karena kebetulan saya ada acara.Thanks",SPAM
"Maaf saya Sri Ningsih, mengenai rumahnya yang mau dijual kemarin, kebetulan saya berminat. Tolong hubungi suami saya untuk untuk nego harga di no telpon ini:08xxxxxxx. A/n:H. Maulana. Thx",SPAM
"maaf sy ibu Sri Lestari mengenai rumah dijual yg kemarin, itu netnya berapa? Tlg hubungi suami sy untuk nego Bpk Dani Anwar Tlp 081284429444 Thnks",SPAM
"TELECOMINDO. Cari Agen PULSA m.KIOS/All operator. V.=4500, V.10=8500, V.20=18.500, V.50=45.500 (harga flat untuk semua operator). INGIN GABUNG: ketik SRR*NAMA*KOTA# Kirim sms ke 085213315678",SPAM
"Kesempatan jadi AGEN MKIOS/MTRONIK ALL Operator,harga v5=4500=v10=8500 v20=18rb v25=23rb v50=45rb v100=95rb. Cara ketik DAFTAR kirim ke 0878xxxxxxxx",SPAM
PT. MEDICOMCELL Cari agen PULSA dengan HARGA 5rb/4500 10rb/8500 berMinat!!! Ketik: NAMA#NO HP#KOTA#KIRIM ke SaatNya Ponsel anda Utk berBisnis PULSA.,SPAM
Multi PULSA Cari Agen M-KIOS all Operator! Harga: V.5=4500 V.10=8500 V.20=18500 V.50=45rb. INGIN BERGABUNG? KetIK:GABUNG Kirim ke:081807240111,SPAM
"Kesempatan jadi AGEN PULSA MKIOS ALL Operator harga V5=4500, V10=8500, V20=18rb, V25=23rb, V50=45rb, V100=90rb Cara Ketik Daftar kirim ke 087888366677",SPAM
"Dicari Agen Pulsa Dari berbagai Daerah, Harga Pulsa Murah dan Menguntungkan Bagi Anda , S5= 4500, S10 = Rp9000 dst silahkan Daftar dengan Format ketik : DAFTAR NAMA KOTA kirim ke 085263902283",SPAM
ANDIKA PRAMANA CARI AGEN PULSA ALL OPRATOR Harga 5=4500 10=8500 bergabung ketik DAFTAR#NAMA#NOHP# KIRIM Ke:085210981154 saatnya hp anda berbisnis pulsa,SPAM
PT.CENTRAL PULSA.Cari agen M.KIOS all operator. V.5=4500 V.10=8500 V.20=18500 V.50=45.rb-INGIN GABUNG ketik:DAFTAR#NAMA#KOTA#NOHp#Kirim ke 085656658106,SPAM
"Selamat!! Anda Menêdpt hadiah Rp.75juta. Dari TELKOMSELpoin ""Periode maret"" PIN anda(33c7) Hub kntr pusat: 082113720777 (Ir.Wardoyo).",SPAM
"Beliin mama pulsa 20rb di nomor ini, 08128328646x, sekarang ya soalnya mama di rumah sakit, penting dr mama. ",SPAM
Dengerin lagu sepuasnya di TRI RADIO. Telpon ke 36969 (Gratis)atau *100*2*6#. Cuma seribu /hari bisa dengerin ribuan lagu sesukamu!,SPAM
Temukan teman baru tanpa perlu tahu nomormu hanya diObrolan Mantap Gila. Gratis se-minggu berlangganan utk hari ini! Telp 121 sekarang!,SPAM
"Pelanggan Yth, Selamat, Anda men-dpt hadiah dri: Pengundian PT. INDOFOOD POPMIE pin anda FH53X77, U/info klik:www.pop-mie-indofood.webs.com",SPAM
plg yth no. Anda terpilih menang cek Rp.100jt dri PT. TELKOMSEL HUT TELKOMSEL Ke-17 thn 2015 hub call center 085313311113,SPAM
"Plg yth, no Anda men-dpt hadiah dr:pengundian PT.INDOSAT pin anda: b89c7h9 U/Melihat hadiah Anda klik: www.pemenangindosat-poin.webs.com",SPAM
"SLMT!-No Anda M-dpt 1-unit Mobil all New AVANZA,Dari TELKOMSELpoin PIN_pmenan anda b89c7h9)U/info Lengkap kunjungi: www.telkomselpoin-777.pusku.com",SPAM
Slmt!! No Anda Men-dptkan Hadiah dr Pengundian Poin Plus Plus INDOSAT No Pin(d377hi8)Utk info Pemenang silahkan klik www.kejutan-indosatpoinplus2013.webs.com,SPAM
Slmt!! No Anda Men-dptkan Hadiah dr Pengundian Poin Plus Plus INDOSAT No Pin(d377hi8) info Pemenang silahkan klik www.kejutan-indosatpoinplusplus2013.webs.com,SPAM
"Slmt simCARD anda 08562XXXXXX mdpat cek tunai Rp.49jt PIN (RWD2749) info CS,085691371116 atau kunjungi www.indosat-id.jimdo.com",SPAM
selamat!anda mndptkan hadiah Cektunai Rp. 15jt dari INDOSAT pin_277fg49 U/info pengambilan hadiah.kunjungi website indosat www.gebyar-poinindosat.blogspot.com,SPAM
"Selamat!anda mdptkan satu unit MOBIL NISSAN JUKE dr PT.INDOFOOD pin_anda 27tdn55 u/info pengambilan Hadiah, kunjungi website www.popmieget-lucky.blogspot.com",SPAM
Selamat!anda m-dptkan Hadiah Cek Tunai Rp. 15jt dari INDOSAT Pin_anda 277fg49 U/info pengambilan Hadiah kunjungi website indosat www.hadiah-indosat.blogspot.com,SPAM
"Selamat!! Anda Menêdpt hadiah Rp.75juta. Dari TELKOMSELpoin ""Periode maret"" PIN anda(33c7) Hub kntr pusat: 082113720777 Ir.Wardoyo).",SPAM
SELAMAT!! Anda M-dapat hadiah Satu unit mobil alphard dr TELKOMSEL info hub;0016282336033777/kunjungi website kami di http://telkomselundian2013.jimdo.com,SPAM
Selamat! No Anda Terpilih M-dptkan kejutan HADIAH langsung Dari 3care kode Pemenang anda b89c7h9 Utk Info Lenkap kunjungi web kami www.hadiahT3care.blogspot.com,SPAM
Selamat !!! Anda mndptkan cek tunai Rp.27jt dr PT.Bank Rakyat Indonesia pin anda:ijh76k79 u/info klik www.bri-untungbeliung.blogspot.com atau hub:021-3677-1839Selamat !!! Anda mndptkan cek tunai Rp.27jt dr PT.Bank Rakyat Indonesia pin anda:ijh76k79 u/info klik www.bri-untungbeliung.blogspot.com atau hub:021-3677-1839,SPAM
"PT.INDOFOOD.tbk menyampaikan bahwa anda telah resmi menangkan uang Rp.49jt dari pop mie No.PIN XY7QD77, Info lengkap Klik www.undianindofood-tbk.jimdo.com",SPAM
Plg Yth: Simcard anda mendptkan bonus poin plus-plus 555 dr:PT.INDOSAT pin anda:277fg49 u/info klik di www.indosat-555.blogspot.com atau Hub:021-3338-0074.,SPAM
GEBYAR telkomselpoin 2015 no anda trpilih pemenang ke-4 pin 277fg49 silahkan verifikasi pin anda disitus resmi www.t-selpoinhadiah.jimdo.com,SPAM
"Di transfer saja Uangnya ke rekening BNI ini, a/n. ISMAWATI. Rek: 0248147033. SMS saja klo sdh kirim.",SPAM
Dalam program POIN PLUS PLUS INDOSAT 2015.Anda mendpt hadiah ke 4 cek tunai Rp.49jt.No PIN ANDA: 277fg49. U/info pemenang klik www.gebyarpoinplus-plus.webs.com,SPAM
"Butuh Dana Tunai Cepat 25-250 Juta Dgn Bunga Rendah 1,35% Flat/Bln Proses Dijamin 3 Hari Syarat Mudah Info Ibu YANI : 081218986001",SPAM
Hello yang! semalam aku dah tinggal message gambarku yg peribadi kpd yang. Tengoklah dgn menaip ON FS dan sms ke 37873. optout call 0128728676.,SPAM
"Sbg tanda penghargaan drpd kami, anda terpilih utk menerima langganan servis MMS yg terkini dgn menghantar REG MAB ke 36889 sekarang! percuma pendaftaran.",SPAM
Aksi BASAH Bintang sinetron indon dgn penyanyi lelaki di Bali. Episod 3 lebih mantap. Taip ON KRY htr ke 39636 sms out to optout VM0378063550.,SPAM
invite pin baru aku 2b46b55c makasih.,SPAM
"Dijual kartu SIMPATI hampir sama dngn nomer anda 092325130000 harga,450.000. jk minat hub;085331234777 pin,51afdaf0 bayar transfer setelah kartu diterima",SPAM
Invite saya ya kak Pin 282F8C18. Indah,SPAM
Invite saya ya kak Pin 2B1D36F2. Indah,SPAM
"New product import Kacamata dapat menembus berbagai jenis benda termasuk kain,plastik,batok dll. Hub 082243599579 PIN 2B1D36F2 ",SPAM
"mah..tolong beliin dulu pulsa 200.rb ke nmr ini, buat paket internet, soalnya ini ada tugas penting..!! Dan nanti di sms kalau sudah masuk pulsanya mah.!!",SPAM
INFO M-KIOS PESTA ISI ULANG Krt anda 2015 men-dptkan HADIAH Ke-4 cek 100jt PIN;ijh76k79 u/info hub; 082386485477 u/jelas klik;www.sn-mkios477.blogspot.com,SPAM
Pinjman Express s/d 300 jt Cukup KTP & Kart Kredt Hub: 082110180952 atau 085319036119 (Apri),SPAM
PESTA M-KIOS!! Anda pelanggan setia M-Kios terpilih sebagai Pemenang HADIAH ke(3) PIN Pemenang:2A7U87E U/info klik www.undian-mkios2015.jimdo.com,SPAM
"mengenai harga sy sudah setuju, jadi berapa dulu tanda jadinya/dp, hubungi saya di nomor ini. 082311818178,terima kasih.",SPAM
Ini nomor rekeningnya bank bni ;0375 4192 08 a/n winarsih sms saja kalau sudah dikirim,SPAM
(BRI)menyampaikan Rekening Anda mendapatkan CEK 27jt kode Triplle CEK Anda: (02599875) U/Verifikasi klik: www.bliungbritama.weebly.com ,SPAM
Surat keputusan resmi PT.M-KIOS Selamat Anda terpilih sebagai pemenang ke-4 No.PIN pemenang anda (a7sh47ia).info klik www.kejutan-2015ptmkios.blogspot.com,SPAM
Maaf kami sudah menghubungi tapi tidak tersambung simcard anda meraih hadiah ke-2 dri PESTA ISI ULANG M-KIOS PIN:M248K81 cek pin anda di www.infomkios2015.co.vu,SPAM
PESAN RESMI PT.M-KIOS hasil pengundian tdi mlm No anda mdpat hadiah cek Rp.35jt pin code (4478GHY77) ketik:nama/no rek/nama bank kirim ke: 081355748292,SPAM
PESAN RESMI Dari PT.M-KIOS Hasil pengundian berkat isi pulsa nomor anda mndapat hadiah PIN;M248K81 U/INFO cek pin anda di www.ptmkios999.blogspot.com,SPAM
"Kirimkan mama pulsa 50rb di no berikut bkn di no yang lama. Penting, soalnya mama ada masalah",SPAM
"ini nomor baru mama, tolong kirimkan pulsa 50.000 ke nomor baru mama 0856834001221 mama lagi ada masalah di kantor polisi. Jangan telepon Mama dulu.",SPAM
